@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
26,'2018/09/14 15:06:41:173',27,0.628854,0.187578,0.272678,0.682155,1.089557,0.124517,0.285783,1.144454,0.071895,-0.490606,-0.429197,0.072053,-0.146777,-0.79485,-0.855077,-0.228315,1,?
27,'2018/09/14 15:06:41:359',28,0.302475,-0.164938,-0.14811,0.224383,0.688806,0.063186,0.071362,0.657628,0.08642,-0.507719,-0.490085,0.047699,-0.148696,-0.804182,-0.829304,-0.334632,1,?
28,'2018/09/14 15:06:41:677',30,0.245074,-0.616405,-0.591885,0.139257,0.697857,-0.232347,-0.251653,0.689628,0.066422,-0.572391,-0.561401,0.038166,-0.2184,-0.791865,-0.781482,-0.403834,1,?
29,'2018/09/14 15:06:42:024',32,0.410583,-0.740597,-0.688173,0.32205,0.832927,-0.267648,-0.302087,0.87471,0.057688,-0.59221,-0.526064,0.048905,-0.21942,-0.795489,-0.79772,-0.347829,1,?
30,'2018/09/14 15:06:42:192',33,0.442108,-0.655464,-0.658207,0.340272,0.82994,-0.252181,-0.291402,0.8724,0.057436,-0.566847,-0.508633,0.042209,-0.210437,-0.798136,-0.805203,-0.313207,1,?
31,'2018/09/14 15:06:42:356',34,0.48711,-0.5337,-0.633867,0.350639,0.825241,-0.241312,-0.247356,0.902739,0.049918,-0.538397,-0.48962,0.010169,-0.204518,-0.803017,-0.789186,-0.230817,1,?
32,'2018/09/14 15:06:44:405',35,0.133385,-0.510163,-0.619352,0.181207,0.781225,0.1029,-0.12148,0.859592,0.018739,-0.434623,-0.458369,0.016968,-0.200804,-0.697581,-0.69034,-0.132761,1,?
33,'2018/09/14 15:06:44:590',36,0.139574,-0.526131,-0.612181,0.190972,0.769108,0.166499,-0.130125,0.793113,-0.001841,-0.408519,-0.458136,0.013007,-0.222108,-0.69793,-0.68433,-0.137246,1,?
34,'2018/09/14 15:06:44:760',37,0.146923,-0.497833,-0.626699,0.166885,0.972795,0.200272,-0.113478,0.708599,-0.028932,-0.390345,-0.466602,0.076896,-0.253841,-0.70843,-0.692293,-0.15067,1,?
35,'2018/09/14 15:06:44:905',38,0.164931,-0.482973,-0.629604,0.150524,1.016242,0.20148,-0.120203,0.689451,-0.039602,-0.389931,-0.477446,0.110791,-0.262898,-0.714734,-0.699495,-0.155085,1,?
36,'2018/09/14 15:06:45:073',39,0.256824,-0.464024,-0.588322,0.182723,1.033897,0.20148,-0.121449,0.686475,-0.043631,-0.419829,-0.507378,0.166301,-0.278377,-0.738052,-0.725838,-0.173935,1,?
37,'2018/09/14 15:06:45:206',40,0.313074,-0.462739,-0.558534,0.22691,1.033897,0.20148,-0.121449,0.72772,-0.020791,-0.455548,-0.518293,0.184271,-0.291135,-0.766713,-0.753883,-0.195659,1,?
38,'2018/09/14 15:06:45:338',41,0.343431,-0.477541,-0.547395,0.250262,1.033897,0.20148,-0.121449,0.825326,0.015199,-0.492762,-0.530069,0.188091,-0.32381,-0.816756,-0.803349,-0.241441,1,?
39,'2018/09/14 15:06:45:625',43,0.360134,-0.52645,-0.522577,0.282174,1.03393,0.202922,-0.123306,0.8486,0.04761,-0.547343,-0.545961,0.185684,-0.410957,-0.874151,-0.882048,-0.360333,1,?
