@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
8098,'2018/08/17 13:18:55:656',16337,-0.038937,-0.677718,-0.310607,0.043791,0.656118,-0.364308,-0.229585,0.598146,0.303925,-0.548194,-0.609246,0.307738,0.011999,-0.828347,-0.6403,0.108636,1,1
8099,'2018/08/17 13:18:55:671',16337,-0.040954,-0.674399,-0.307211,0.044233,0.658401,-0.366548,-0.227716,0.598146,0.303308,-0.546482,-0.60901,0.308114,0.013475,-0.827122,-0.640051,0.110887,1,1
8100,'2018/08/17 13:18:55:688',16339,-0.043809,-0.665743,-0.300534,0.044739,0.660683,-0.370378,-0.222987,0.59806,0.301191,-0.543277,-0.60839,0.308011,0.015272,-0.825005,-0.64048,0.114607,1,1
8101,'2018/08/17 13:18:55:705',16341,-0.046664,-0.657087,-0.293857,0.045244,0.662965,-0.374208,-0.218258,0.597974,0.299073,-0.540072,-0.607769,0.307908,0.017069,-0.822889,-0.640909,0.118327,1,1
8102,'2018/08/17 13:18:55:721',16343,-0.049519,-0.648431,-0.28718,0.04575,0.662965,-0.375798,-0.215397,0.597887,0.297573,-0.538578,-0.607384,0.307428,0.018865,-0.820772,-0.641338,0.122046,1,1
8103,'2018/08/17 13:18:55:738',16345,-0.049857,-0.636369,-0.281137,0.046469,0.662965,-0.377161,-0.212199,0.592732,0.294207,-0.535274,-0.605594,0.305828,0.018657,-0.81947,-0.642112,0.124405,1,1
8104,'2018/08/17 13:18:55:754',16347,-0.050195,-0.624307,-0.275095,0.047187,0.662965,-0.378523,-0.209,0.587576,0.290841,-0.53197,-0.603805,0.304228,0.018448,-0.818168,-0.642885,0.126764,1,1
8105,'2018/08/17 13:18:55:771',16349,-0.050534,-0.612245,-0.269052,0.047906,0.662965,-0.379886,-0.205801,0.582421,0.287475,-0.528666,-0.602015,0.302629,0.018239,-0.816866,-0.643658,0.129122,1,1
8106,'2018/08/17 13:18:55:788',16351,-0.050872,-0.600183,-0.26301,0.048625,0.662965,-0.381249,-0.202602,0.577265,0.28411,-0.525362,-0.600225,0.301029,0.01803,-0.815564,-0.644432,0.131481,1,1
8107,'2018/08/17 13:18:55:804',16353,-0.05121,-0.588122,-0.256967,0.049344,0.662965,-0.382612,-0.199404,0.57211,0.280744,-0.522058,-0.598436,0.299429,0.017821,-0.814262,-0.645205,0.13384,1,1
8108,'2018/08/17 13:18:55:822',16357,-0.049005,-0.568755,-0.248956,0.051624,0.662965,-0.383234,-0.196205,0.558102,0.275454,-0.51675,-0.59409,0.296518,0.016765,-0.812725,-0.644236,0.136712,1,1
8109,'2018/08/17 13:18:55:837',16357,-0.046801,-0.549389,-0.240944,0.053904,0.662965,-0.383856,-0.193006,0.544094,0.270165,-0.511441,-0.589744,0.293606,0.015709,-0.811189,-0.643267,0.139584,1,1
8110,'2018/08/17 13:18:55:854',16359,-0.043758,-0.53536,-0.236214,0.05612,0.662965,-0.382888,-0.192668,0.530172,0.266376,-0.507626,-0.585783,0.291174,0.014332,-0.810545,-0.64162,0.140988,1,1
