@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
27,'2018/08/17 15:39:14:306',54,-0.054261,-0.009138,0.113545,0.153898,1.012653,0.391871,-0.019348,1.036514,0.262002,-0.022206,-0.134107,0.315076,0.149057,-0.15873,-0.101933,0.204304,1,1
28,'2018/08/17 15:39:14:323',56,-0.050512,-0.011954,0.114233,0.154123,1.014992,0.391871,-0.015929,1.040068,0.262264,-0.021573,-0.135677,0.314537,0.148979,-0.158233,-0.104252,0.20455,1,1
29,'2018/08/17 15:39:14:339',58,-0.042922,-0.015621,0.11745,0.155782,1.017834,0.391873,-0.007923,1.046336,0.262548,-0.021193,-0.137285,0.314054,0.149208,-0.157974,-0.108387,0.204733,1,1
30,'2018/08/17 15:39:14:356',60,-0.035332,-0.019288,0.120667,0.157442,1.020675,0.391876,0.000082,1.052604,0.262833,-0.020813,-0.138893,0.313571,0.149437,-0.157715,-0.112522,0.204915,1,1
31,'2018/08/17 15:39:14:372',62,-0.027742,-0.022955,0.123885,0.159101,1.023517,0.391878,0.008088,1.058871,0.263117,-0.020432,-0.140501,0.313089,0.149666,-0.157456,-0.116657,0.205098,1,1
32,'2018/08/17 15:39:14:389',64,-0.023901,-0.023807,0.126414,0.160536,1.02402,0.39188,0.012674,1.061585,0.26314,-0.020686,-0.140539,0.313145,0.149973,-0.157695,-0.118472,0.205035,1,1
33,'2018/08/17 15:39:14:405',66,-0.02006,-0.024659,0.128943,0.161971,1.024523,0.391882,0.01726,1.064299,0.263162,-0.020939,-0.140576,0.313201,0.15028,-0.157933,-0.120288,0.204972,1,1
34,'2018/08/17 15:39:14:421',68,-0.016219,-0.02551,0.131472,0.163405,1.025026,0.391885,0.021846,1.067013,0.263184,-0.021192,-0.140614,0.313258,0.150587,-0.158172,-0.122103,0.204908,1,1
35,'2018/08/17 15:39:14:438',70,-0.008085,-0.026144,0.136911,0.16715,1.02594,0.391887,0.031365,1.070695,0.263159,-0.022018,-0.139483,0.313743,0.151436,-0.159198,-0.125454,0.204852,1,1
36,'2018/08/17 15:39:14:454',72,0.000048,-0.026777,0.14235,0.170894,1.026854,0.391889,0.040884,1.074376,0.263134,-0.022843,-0.138352,0.314229,0.152285,-0.160224,-0.128804,0.204796,1,1
37,'2018/08/17 15:39:14:471',74,0.008181,-0.02741,0.147789,0.174638,1.027768,0.391891,0.050403,1.078058,0.26311,-0.023669,-0.13722,0.314714,0.153135,-0.16125,-0.132154,0.20474,1,1
38,'2018/08/17 15:39:14:488',76,0.020732,-0.027697,0.15456,0.180651,1.02877,0.391893,0.069055,1.082224,0.263024,-0.024617,-0.134,0.315309,0.154677,-0.163179,-0.137372,0.204687,1,1
39,'2018/08/17 15:39:14:504',78,0.029442,-0.027132,0.158802,0.185229,1.029269,0.391893,0.083122,1.083677,0.262917,-0.025312,-0.130741,0.315847,0.155913,-0.16487,-0.140774,0.204698,1,1
40,'2018/08/17 15:39:14:521',80,0.038152,-0.026567,0.163044,0.189808,1.029767,0.391893,0.097188,1.08513,0.262809,-0.026007,-0.127483,0.316386,0.157149,-0.166561,-0.144176,0.204709,1,1
41,'2018/08/17 15:39:14:538',82,0.046861,-0.026002,0.167285,0.194386,1.030266,0.391893,0.111255,1.086583,0.262702,-0.026702,-0.124225,0.316924,0.158384,-0.168252,-0.147579,0.20472,1,1
42,'2018/08/17 15:39:14:554',84,0.055571,-0.025438,0.171527,0.198965,1.030765,0.391893,0.125322,1.088036,0.262594,-0.027397,-0.120966,0.317462,0.15962,-0.169942,-0.150981,0.20473,1,1
43,'2018/08/17 15:39:14:571',86,0.064281,-0.024873,0.175769,0.203543,1.031264,0.391893,0.139388,1.089488,0.262486,-0.028092,-0.117708,0.318001,0.160856,-0.171633,-0.154383,0.204741,1,1
44,'2018/08/17 15:39:14:588',88,0.077592,-0.022843,0.179135,0.210969,1.032224,0.391893,0.166737,1.091254,0.262669,-0.027966,-0.111027,0.318278,0.162876,-0.17384,-0.160427,0.205202,1,1
45,'2018/08/17 15:39:14:604',90,0.086611,-0.021032,0.179592,0.216085,1.032774,0.391893,0.189152,1.092053,0.262898,-0.027267,-0.105516,0.318127,0.164354,-0.17526,-0.164936,0.205656,1,1
46,'2018/08/17 15:39:14:621',92,0.09563,-0.01922,0.180049,0.221201,1.033324,0.391893,0.211568,1.092852,0.263127,-0.026568,-0.100005,0.317976,0.165832,-0.17668,-0.169445,0.206109,1,1
47,'2018/08/17 15:39:14:637',94,0.104649,-0.017409,0.180506,0.226317,1.033874,0.391893,0.233983,1.09365,0.263357,-0.02587,-0.094494,0.317825,0.16731,-0.1781,-0.173954,0.206563,1,1
48,'2018/08/17 15:39:14:654',96,0.109251,-0.015944,0.179631,0.229165,1.034336,0.391893,0.247265,1.093964,0.263647,-0.025049,-0.091071,0.317564,0.168095,-0.178617,-0.176596,0.207013,1,1
49,'2018/08/17 15:39:14:671',98,0.113853,-0.014479,0.178756,0.232012,1.034798,0.391893,0.260547,1.094277,0.263937,-0.024228,-0.087649,0.317304,0.168879,-0.179134,-0.179238,0.207463,1,1
50,'2018/08/17 15:39:14:687',100,0.118454,-0.013013,0.17788,0.23486,1.035259,0.391893,0.273829,1.09459,0.264227,-0.023407,-0.084227,0.317043,0.169664,-0.17965,-0.18188,0.207914,1,1
51,'2018/08/17 15:39:14:704',102,0.123056,-0.011548,0.177005,0.237707,1.035721,0.391893,0.287111,1.094904,0.264516,-0.022586,-0.080805,0.316782,0.170449,-0.180167,-0.184522,0.208364,1,1
